X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount
-8473967.97599093,5317504.04079537,427,395807D,2023/01/05 01:37:00+00,700 EUCLID AVE,NO PARKING ANY TIME CO15-316 (A)14,Adjudication Pending ,25
,,428,394170D,2023/01/04 20:15:00+00,300 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,429,392589D,2023/01/03 16:59:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
,,430,395945D,2023/01/03 11:53:00+00,200 MILES AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0
,,431,382132D,2023/01/03 14:50:00+00,511 STATE ST S,NO PERMIT/ALL TIMES CO15-365,Paid In Full,25
,,432,375286D,2023/01/04 13:04:00+00,400 MONTGOMERY ST,NO PERMIT/ALL TIMES CO15-365,Paid In Full,25
,,433,382133D,2023/01/03 15:04:00+00,600 STATE ST S,NO PERMIT/ALL TIMES CO15-365,Fourth Notice,25
,,434,371246D,2023/01/03 12:26:00+00,700 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,435,375288D,2023/01/04 14:01:00+00,402 MONTGOMERY ST,NO PERMIT/ALL TIMES CO15-365,Paid In Full,25
,,436,381324D,2023/01/03 12:26:00+00,900 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473722.51648653,5320895.77452598,437,371247D,2023/01/03 12:51:00+00,100 SUNSTRUCK DR,MISC,Fourth Notice,25
,,438,371248D,2023/01/03 15:09:00+00,100 WHITTIER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473722.51648653,5320895.77452598,439,381325D,2023/01/03 12:51:00+00,100 SUNSTRUCK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473992.52202425,5317790.52194434,440,393561D,2023/01/03 19:16:00+00,500 CLARENDON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,441,3881327D,2023/01/03 14:39:00+00,100 THURLOW DR,COMMERCIAL IN RESIDENTIAL CO15-318(B),Issued,25
,,442,393563D,2023/01/03 19:25:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8474026.08481945,5317787.78056998,443,393565D,2023/01/03 19:29:00+00,700 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,444,393566D,2023/01/03 19:33:00+00,100 REDFIELD PL,LEFT WHEELS TO CURB/ALL CO15-301,Paid In Full,25
,,445,393564D,2023/01/03 19:27:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473697.46959495,5317530.08420824,446,393568D,2023/01/03 19:39:00+00,800 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473697.46959495,5317530.08420824,447,393569D,2023/01/03 19:40:00+00,800 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473697.46959495,5317530.08420824,448,393567D,2023/01/03 19:38:00+00,800 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473387.89020637,5317073.65001209,449,393570D,2023/01/03 19:48:00+00,300 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,450,393572D,2023/01/03 19:54:00+00,100 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8473408.42855475,5317366.97143526,451,393571D,2023/01/03 19:52:00+00,200 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,452,381327D,2023/01/03 14:39:00+00,100 THURLOW DR,COMMERCIAL IN RESIDENTIAL CO15-318(B),Paid In Full,25
-8473285.19795637,5318278.51983757,453,393573D,2023/01/03 20:53:00+00,600 ALLEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8472730.65992066,5319295.72089727,454,393574D,2023/01/03 20:57:00+00,300 BRUCE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,455,376227D,2023/01/03 22:29:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,456,376228D,2023/01/03 22:35:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
-8473967.97599093,5317504.04079537,457,395808D,2023/01/05 01:38:00+00,700 EUCLID AVE,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
-8474521.5121417,5317471.14394834,458,395805D,2023/01/05 01:31:00+00,300 EUCLID AVE,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
-8473967.97599093,5317504.04079537,459,395806D,2023/01/05 01:35:00+00,700 EUCLID AVE,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
-8473967.97599093,5317504.04079537,460,395809D,2023/01/05 01:39:00+00,700 EUCLID AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25
,,461,JPB4615,2023/01/04 15:53:00+00, UNK,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
,,462,381597D,2023/01/04 16:03:00+00, UNK,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,463,P290HL,2023/01/04 16:07:00+00, UNK,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Void Approved,0
,,464,395810D,2023/01/05 01:45:00+00,400 STRATFORD ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,465,394162D,2023/01/04 19:28:00+00,1000 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,466,394161D,2023/01/04 19:24:00+00,900 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474123.76761199,5317160.00078523,467,394163D,2023/01/04 19:43:00+00,900 ACKERMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,468,393641D,2023/01/05 02:50:00+00,200 LAFAYETTE AVE W,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,469,394165D,2023/01/04 19:55:00+00,1000 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,470,394167D,2023/01/04 20:05:00+00,200 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,471,394166D,2023/01/04 19:58:00+00,200 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,472,394171D,2023/01/04 20:16:00+00,200 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,473,394172D,2023/01/04 21:44:00+00,200 FELLOWS AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,474,394168D,2023/01/04 20:06:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,475,394174D,2023/01/04 21:50:00+00,300 FELLOWS AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,476,344535D,2023/01/05 01:21:00+00,600 PARK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,477,394173D,2023/01/04 21:46:00+00,200 FELLOWS AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,478,344536D,2023/01/05 01:24:00+00,600 PARK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,479,344539D,2023/01/05 01:38:00+00,600 PARK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,480,344538D,2023/01/05 01:34:00+00,600 PARK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,481,344542D,2023/01/05 01:51:00+00,600 PARK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,482,344540D,2023/01/05 01:42:00+00,600 PARK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,483,344541D,2023/01/05 01:47:00+00,600 PARK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,484,374404D,2023/01/04 21:55:00+00,511 STATE ST S,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,485,381729D,2023/01/04 06:17:00+00,1600 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,486,381730D,2023/01/04 06:20:00+00,100 GALE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,487,381734D,2023/01/04 06:38:00+00,600 HIXSON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,488,381732D,2023/01/04 06:24:00+00,300 VANN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473847.24999223,5321510.09248022,489,381733D,2023/01/04 06:32:00+00,100 MOONEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473992.52202077,5322345.24567642,490,381736D,2023/01/04 06:43:00+00,200 RUGBY RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,491,381738D,2023/01/04 06:47:00+00,200 DORCHESTER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,492,381737D,2023/01/04 06:47:00+00,200 DORCHESTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473992.52202077,5322345.24567642,493,381735D,2023/01/04 06:43:00+00,200 RUGBY RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,494,371249D,2023/01/04 12:54:00+00,2000 SALINA ST S,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,495,371250D,2023/01/04 12:59:00+00,2000 SALINA ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,496,371253D,2023/01/04 15:34:00+00,1100 LEMOYNE AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,497,371252D,2023/01/04 14:57:00+00,200 SUNSTRUCK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8472356.96039371,5318554.05801343,498,381330D,2023/01/04 14:45:00+00,2700 GENESEE ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
-8473722.51648653,5320895.77452598,499,381331D,2023/01/04 14:59:00+00,100 SUNSTRUCK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8472356.96039371,5318554.05801343,500,371251D,2023/01/04 14:42:00+00,2700 GENESEE ST E,BUS STOP ONLY CO15-334,Paid In Full,60
,,501,381335D,2023/01/04 15:33:00+00,1100 LEMOYNE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473722.51648653,5320895.77452598,502,381332D,2023/01/04 14:59:00+00,100 SUNSTRUCK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,503,376079D,2023/01/04 10:00:00+00,110 GRAY AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100
-8473387.38925492,5323100.92491242,504,369157D,2023/01/04 23:55:00+00,213 VILLAGE DR,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100
-8477616.30529889,5324089.84598568,505,268513C,2023/01/04 11:40:00+00,120 STEDMAN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,506,395949D,2023/01/03 13:33:00+00,000 UNKNOWN,MISC,Void Approved,0
,,507,395948D,2023/01/03 12:00:00+00,000 UNKNOWN,MISC,Void Approved,0
-8477616.30529889,5324089.84598568,508,268514C,2023/01/04 11:40:00+00,120 STEDMAN ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,509,393692D,2023/01/03 19:18:00+00,800 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,510,392351D,2023/01/04 09:28:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Issued,25
,,511,231500069,2023/01/05 09:15:00+00,300 MONTGOMERY ST,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,512,231500071,2023/01/05 09:18:00+00,300 MONTGOMERY ST,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,25
,,513,231500070,2023/01/05 09:17:00+00,300 MONTGOMERY ST,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60
,,514,231500073,2023/01/05 09:28:00+00,100 JEFFERSON ST W,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,515,231500072,2023/01/05 09:27:00+00,100 JEFFERSON ST W,PARKED IN LOADING ZONE/ALL CO15-329,Issued,25
,,516,231500074,2023/01/05 09:29:00+00,100 JEFFERSON ST W,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,517,231500075,2023/01/05 09:29:00+00,100 JEFFERSON ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,518,231500077,2023/01/05 09:33:00+00,300 SALINA ST S,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,519,231500076,2023/01/05 09:32:00+00,300 SALINA ST S,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,520,230900041,2023/01/05 09:40:00+00,700 TOWNSEND ST N,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Approved,0
,,521,231500078,2023/01/05 09:36:00+00,300 SALINA ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,522,231500079,2023/01/05 09:36:00+00,300 SALINA ST S,NONE/ONE LICENSE PLATE/ALL VTL402-1,Paid In Full,25
,,523,230900042,2023/01/05 09:40:00+00,700 TOWNSEND ST N,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0
,,524,231500080,2023/01/05 09:41:00+00,200 BANK ALLEY,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,525,231500081,2023/01/05 09:42:00+00,200 BANK ALLEY,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,526,231300041,2023/01/05 09:41:00+00,2300 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,527,231500082,2023/01/05 09:46:00+00,100 WARREN ST S,NO STOPPING ANY TIME CO15-316 (A)14,Issued,25
,,528,231500083,2023/01/05 09:47:00+00,100 WARREN ST S,NO STOPPING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,529,230900044,2023/01/05 09:49:00+00,200 LAUREL ST E,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,530,230900043,2023/01/05 09:48:00+00,200 LAUREL ST E,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8472480.69195986,5319313.54344282,531,231300042,2023/01/05 09:47:00+00,200 GENESEE PK DR,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,532,231500084,2023/01/05 09:49:00+00,200 WATER ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,533,231500085,2023/01/05 09:51:00+00,200 ERIE BLVD E,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
-8472480.69195986,5319313.54344282,534,231300043,2023/01/05 09:49:00+00,200 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,535,230900045,2023/01/05 09:50:00+00,200 LAUREL ST E,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8472480.69195986,5319313.54344282,536,231300044,2023/01/05 09:49:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,537,231500087,2023/01/05 09:56:00+00,100 WATER ST E,NO STOPPING ANY TIME CO15-316 (A)14,Void Approved,0
,,538,231500088,2023/01/05 09:57:00+00,100 WATER ST E,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25
-8472366.47813748,5319473.94806626,539,231300045,2023/01/05 09:55:00+00,300 BEATTIE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,540,230900046,2023/01/05 10:00:00+00,100 UNION AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,541,230900047,2023/01/05 10:01:00+00,100 UNION AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,542,231500086,2023/01/05 09:53:00+00,200 ERIE BLVD E CITY LOT 3,NO PARKING ANY TIME CO15-316 (A)14,Void Approved,0
,,543,230900048,2023/01/05 10:01:00+00,100 UNION AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,544,230900049,2023/01/05 10:02:00+00,100 UNION AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Approved,0
,,545,230900050,2023/01/05 10:03:00+00,100 UNION AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8477183.4951778,5319493.14196284,546,231500089,2023/01/05 10:01:00+00,100 WASHINGTON ST E,NO STOPPING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,547,230900051,2023/01/05 10:06:00+00,100 UNION AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,25
,,548,231500090,2023/01/05 10:03:00+00,200 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,549,231500091,2023/01/05 10:07:00+00,200 WARREN ST S,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60
,,550,231500092,2023/01/05 10:09:00+00,200 JEFFERSON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8476763.20839211,5320569.43458757,551,230900053,2023/01/05 10:08:00+00,600 TOWNSEND ST N,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8476763.20839211,5320569.43458757,552,230900052,2023/01/05 10:08:00+00,600 TOWNSEND ST N,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Approved,0
,,553,231500093,2023/01/05 10:10:00+00,200 JEFFERSON ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,554,231500094,2023/01/05 10:11:00+00,200 JEFFERSON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,555,230900055,2023/01/05 10:15:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,556,230900054,2023/01/05 10:12:00+00,500 TOWNSEND ST N,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,557,230900056,2023/01/05 10:16:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,558,230900057,2023/01/05 10:17:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Pending ,25
-8478661.26137678,5316781.70843512,559,231500095,2023/01/05 10:15:00+00,300 ONONDAGA ST E,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Fourth Notice,100
-8472144.56276363,5322383.64534291,560,231300046,2023/01/05 10:16:00+00,100 EDWARDS AVE N,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,561,230900058,2023/01/05 10:19:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8472144.56276363,5322383.64534291,562,231300047,2023/01/05 10:18:00+00,100 EDWARDS AVE N,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Denied,60
,,563,230900059,2023/01/05 10:22:00+00,400 HICKORY ST,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8477729.51729065,5320034.70046295,564,231500096,2023/01/05 10:19:00+00,400 GENESEE ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,565,230900060,2023/01/05 10:22:00+00,400 HICKORY ST,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,25
,,566,231300048,2023/01/05 10:23:00+00,300 LILLIAN AVE,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Fourth Notice,60
,,567,230700041,2023/01/05 10:24:00+00,700 CROUSE AVE S,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,568,230700042,2023/01/05 10:24:00+00,700 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,25
,,569,230700043,2023/01/05 10:25:00+00,700 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8470967.86009183,5319454.7541964,570,231500097,2023/01/05 10:24:00+00,400 FAYETTE ST E,NONE/ONE LICENSE PLATE/ALL VTL402-1,Fourth Notice,25
,,571,231300049,2023/01/05 10:26:00+00,300 LILLIAN AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,572,230700044,2023/01/05 10:29:00+00,100 MARSHALL ST,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8470967.86009183,5319454.7541964,573,231500098,2023/01/05 10:26:00+00,400 FAYETTE ST E,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
,,574,230700045,2023/01/05 10:30:00+00,100 MARSHALL ST,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8476769.72062886,5319449.27025695,575,231500100,2023/01/05 10:29:00+00,300 WASHINGTON ST E,PARKED ON SIDEWALK/ALL CO15-316 (A)1,Paid In Full,60
-8476769.72062886,5319449.27025695,576,231500099,2023/01/05 10:29:00+00,300 WASHINGTON ST E,FIRE LANE/ALL TIMES CO15-316 (A)14,Paid In Full,60
,,577,230700046,2023/01/05 10:31:00+00,100 MARSHALL ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,578,230900061,2023/01/05 10:31:00+00,600 STATE ST N,PARKED ON SIDEWALK/ALL CO15-316 (A)1,Paid In Full,60
,,579,231500101,2023/01/05 10:32:00+00,300 WATER ST E,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Void Approved,0
,,580,230900062,2023/01/05 10:33:00+00,200 LAUREL ST E,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8472406.55325314,5322032.56869676,581,231300050,2023/01/05 10:33:00+00,200 HILLSDALE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,582,230700047,2023/01/05 10:34:00+00,100 MARSHALL ST,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Pending ,25
,,583,231500102,2023/01/05 10:34:00+00,300 WATER ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Partial ,10
,,584,230700048,2023/01/05 10:35:00+00,100 MARSHALL ST,PARKED IN LOADING ZONE/ALL CO15-329,Issued,25
,,585,230900063,2023/01/05 10:36:00+00,100 ASH ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
-8472406.55325314,5322032.56869676,586,231300051,2023/01/05 10:34:00+00,200 HILLSDALE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,587,230900064,2023/01/05 10:37:00+00,100 ASH ST,NO STOPPING ANY TIME CO15-316 (A)14,Adjudication Denied ,25
,,588,230900066,2023/01/05 10:40:00+00, CITY LOT 4,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,589,230900065,2023/01/05 10:40:00+00, CITY LOT 4,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,590,231300052,2023/01/05 10:38:00+00,200 WOODBINE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,591,231500103,2023/01/05 10:40:00+00,300 MONTGOMERY ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25
,,592,230900067,2023/01/05 10:42:00+00, CITY LOT 4,NO PERMIT/ALL TIMES CO15-365,Adjudication Approved,0
,,593,230900068,2023/01/05 10:42:00+00, CITY LOT 4,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,594,231300053,2023/01/05 10:42:00+00,100 MARLBOROUGH RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
,,595,231500104,2023/01/05 10:42:00+00,300 MONTGOMERY ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,596,230900069,2023/01/05 10:42:00+00, CITY LOT 4,NO PERMIT/ALL TIMES CO15-365,Fourth Notice,25
,,597,230900070,2023/01/05 10:44:00+00, CITY LOT 4,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,598,230900072,2023/01/05 10:45:00+00, CITY LOT 4,NO PERMIT/ALL TIMES CO15-365,Fourth Notice,25
,,599,230900071,2023/01/05 10:45:00+00, CITY LOT 4,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,600,231500105,2023/01/05 10:43:00+00,300 MONTGOMERY ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25
,,601,231500106,2023/01/05 10:49:00+00,200 JEFFERSON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
-8473266.6632296,5322855.42523787,602,231300056,2023/01/05 10:50:00+00,300 VILLAGE DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473266.6632296,5322855.42523787,603,231300054,2023/01/05 10:45:00+00,300 VILLAGE DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0
-8473266.6632296,5322855.42523787,604,231300055,2023/01/05 10:47:00+00,300 VILLAGE DR,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,605,230700049,2023/01/05 10:50:00+00,700 IRVING AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,606,230700052,2023/01/05 10:53:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,607,230700050,2023/01/05 10:52:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,608,230700051,2023/01/05 10:53:00+00,700 IRVING AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,609,230900074,2023/01/05 10:58:00+00,100 PEARL ST,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
,,610,230900073,2023/01/05 10:55:00+00,500 PEARL ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,611,231500107,2023/01/05 10:56:00+00,100 JEFFERSON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
-8473442.99334739,5322782.73674146,612,231300057,2023/01/05 10:55:00+00,100 VILLAGE DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
